ARG_Name,MGE_Name,MGE_Group_Name,Patient_ID,Label
SILC,gene:plasmid:156119,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:156134,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:156145,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:88313,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:88459,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:88461,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:88462,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:88824,plasmid,34,PreFMT & PostFMT Only
CFX,gene:plasmid:141426,plasmid,36,PreFMT & PostFMT Only
CFX,gene:plasmid:141426,plasmid,38,PreFMT & PostFMT Only
ARSB,gene:plasmid:88437,plasmid,45,PreFMT & PostFMT Only
ARSB,gene:plasmid:91925,plasmid,45,PreFMT & PostFMT Only
ARSB,gene:plasmid:91966,likely IS/TE,45,PreFMT & PostFMT Only
ARSB,gene:plasmid:91985,plasmid,45,PreFMT & PostFMT Only
CFX,gene:plasmid:141426,plasmid,47,PreFMT & PostFMT Only
CFX,gene:plasmid:141426,plasmid,52,PreFMT & PostFMT Only
SULII,gene:plasmid:135202,plasmid,52,PreFMT & PostFMT Only
CATA,gene:plasmid:84454,plasmid,53,PreFMT & PostFMT Only
CMY,gene:plasmid:14229,likely IS/TE,53,PreFMT & PostFMT Only
CMY,gene:plasmid:91534,plasmid,53,PreFMT & PostFMT Only
